,name,postal_code,unit,address,combined_address,coord,latitude,longitude,nearest_station,nearest_station_dist,lowered_name,label
1808,Special Shanghai Tim Sun,69184,#01-92,"1 Kadayanallur Street, Maxwell FoodCentre (Kim Hua Market)","1 Kadayanallur Street, Maxwell FoodCentre (Kim Hua Market) #01-92",,,,,,special shanghai tim sun,Others
1809,Hup Kee Wu Xiang,69184,#01-97,"1 Kadayanallur Street, Maxwell FoodCentre (Kim Hua Market)","1 Kadayanallur Street, Maxwell FoodCentre (Kim Hua Market) #01-97",,,,,,hup kee wu xiang,Others
1810,Bgain 22 Drinks Stall,160022,None,22 Havelock Road,22 Havelock Road None,"(1.28874603704088, 103.828824191655)",1.288746037,103.8288242,TIONG BAHRU,0.347488153,bgain 22 drinks stall,Others
1811,Badaling Drinks 34,160034,"#01-858","34 Jalan Bukit Ho Swee, Beo Crescent","34 Jalan Bukit Ho Swee, Beo Crescent #01-858","(1.28807687600985, 103.82708127923)",1.288076876,103.8270813,TIONG BAHRU,0.209540931,badaling drinks 34,Others
1812,Sharene Hair & Beauty Works,160034,"#01-850B","34 Jalan Bukit Ho Swee, Beo Crescent","34 Jalan Bukit Ho Swee, Beo Crescent #01-850B","(1.28807687600985, 103.82708127923)",1.288076876,103.8270813,TIONG BAHRU,0.209540931,sharene hair & beauty works,Beauty
1813,Chinese Delicacies,160034,"#01-864A","34 Jalan Bukit Ho Swee, Beo Crescent","34 Jalan Bukit Ho Swee, Beo Crescent #01-864A","(1.28807687600985, 103.82708127923)",1.288076876,103.8270813,TIONG BAHRU,0.209540931,chinese delicacies,Others
1814,Sin Khan Choon Trading Pte Ltd,160034,"#01-866","34 Jalan Bukit Ho Swee, Beo Crescent","34 Jalan Bukit Ho Swee, Beo Crescent #01-866","(1.28807687600985, 103.82708127923)",1.288076876,103.8270813,TIONG BAHRU,0.209540931,sin khan choon trading pte ltd,Others
1815,Ever Optical Centre,160036,"#01-29","36 Jalan Bukit Ho Swee, Beo Crescent","36 Jalan Bukit Ho Swee, Beo Crescent #01-29","(1.28830079095393, 103.827180352264)",1.288300791,103.8271804,TIONG BAHRU,0.235000592,ever optical centre,Health
1816,Avant Tcm,160036,"#01-33","36 Jalan Bukit Ho Swee, Beo Crescent","36 Jalan Bukit Ho Swee, Beo Crescent #01-33","(1.28830079095393, 103.827180352264)",1.288300791,103.8271804,TIONG BAHRU,0.235000592,avant tcm,Health
1817,Western,160040,#01-16,40 Beo Crescent,40 Beo Crescent #01-16,"(1.2890578915448, 103.827513018252)",1.289057892,103.827513,TIONG BAHRU,0.323179817,western,Food
1818,Herun Tcm Clinic,160040,#01-18A,40 Beo Crescent,40 Beo Crescent #01-18A,"(1.2890578915448, 103.827513018252)",1.289057892,103.827513,TIONG BAHRU,0.323179817,herun tcm clinic,Health
1819,Victorian Herbal,160052,#02-27,52 Chin Swee Rd,52 Chin Swee Rd #02-27,"(1.28708278284998, 103.841580109275)",1.287082783,103.8415801,CHINATOWN,0.365674168,victorian herbal,Food
1820,Dry Cleaners,160077,#01-509,77 Indus Rd,77 Indus Rd #01-509,"(1.29113483646901, 103.826764453591)",1.291134836,103.8267645,TIONG BAHRU,0.550203085,dry cleaners,Others
1821,Tresor De La Vie,160077,#01-509A,77 Indus Road,77 Indus Road #01-509A,"(1.29113483646901, 103.826764453591)",1.291134836,103.8267645,TIONG BAHRU,0.550203085,tresor de la vie,Others
1822,Heng Heng Mixed Veg Rice - Porridge,161001,"#01-10","1 Jalan Kukoh, Kukoh 21 Food Centre","1 Jalan Kukoh, Kukoh 21 Food Centre #01-10","(1.2882310152805, 103.839934168065)",1.288231015,103.8399342,CHINATOWN,0.57951881,heng heng mixed veg rice - porridge,Food
1823,Csb Seafood Special,161001,"#01-15","1 Jalan Kukoh, Kukoh 21 Food Centre","1 Jalan Kukoh, Kukoh 21 Food Centre #01-15","(1.2882310152805, 103.839934168065)",1.288231015,103.8399342,CHINATOWN,0.57951881,csb seafood special,Food
1824,Eng Ban Leong Medical Hall,161003,#01-113,3 Jalan Kukoh,3 Jalan Kukoh #01-113,"(1.28819406377188, 103.839392752271)",1.288194064,103.8393928,CHINATOWN,0.618584304,eng ban leong medical hall,Health
1825,Stevie Wash,162004,#01-156B,4 Jalan Bukit Ho Swee,4 Jalan Bukit Ho Swee #01-156B,"(1.28742239926051, 103.831238878232)",1.287422399,103.8312389,TIONG BAHRU,0.488397447,stevie wash,Others
1826,Value $ Shop,162008,#01-33,8 Jalan Kukoh,8 Jalan Kukoh #01-33,"(1.2873776268224, 103.839407060595)",1.287377627,103.8394071,CHINATOWN,0.558613709,value $ shop,Others
1827,New Era Colour Center,169876,#01-33A,151 Chin Swee Road,151 Chin Swee Road #01-33A,"(1.28703443823013, 103.840813247609)",1.287034438,103.8408132,CHINATOWN,0.415585256,new era colour center,Others
1828,Heng Fruits,169982,#01-44,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-44","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,heng fruits,Food
1829,Excellence Point,169982,#01-57,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-57","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,excellence point,Others
1830,Kheng,169982,#01-58,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-58","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,kheng,Others
1831,Nonya Kueh,169982,#01-63,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-63","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,nonya kueh,Food
1832,Li Hua Chilli Ban Mian,169982,#01-64,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-64","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,li hua chilli ban mian,Food
1833,Guang Dong Sha Bao Fan,169982,#01-66,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-66","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,guang dong sha bao fan,Food
1834,Alexandra Village Avocado,169982,#01-67,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-67","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,alexandra village avocado,Others
1835,Nan Yuan,169982,#01-68,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-68","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,nan yuan,Others
1836,Chef Wang Fried Rice,169982,#01-71,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-71","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,chef wang fried rice,Food
1837,Heng Heng Cooked Food,169982,#01-72,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-72","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,heng heng cooked food,Food
1838,Leek Hainanese Chicken Rice,169982,#01-73,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-73","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,leek hainanese chicken rice,Food
1839,Hai Chew Fish Soup,169982,#01-75,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-75","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,hai chew fish soup,Food
1840,Vegetarian Food,169982,#01-76,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-76","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,vegetarian food,Food
1841,Tao Yuan Cooked Food,169982,#01-78,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-78","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,tao yuan cooked food,Food
1842,Uncle Lim'S Beverages,169982,#01-79,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-79","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,uncle lim's beverages,Food
1843,Good Luck Drink House,169982,#01-80,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-80","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,good luck drink house,Others
1844,Best Roasted Duck,169982,#01-85,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-85","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,best roasted duck,Food
1845,Porridge Kiosk,169982,#01-86,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-86","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,porridge kiosk,Food
1846,Mr Bakery (Beo Crescent Market),169982,#01-91,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-91","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,mr bakery (beo crescent market),Bakery
1847,Shafima Family Food (Drinks),169982,#01-93,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-93","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,shafima family food (drinks),Food
1848,Shafima Family Food,169982,#01-94,"38A Beo Crescent, Beo Crescent Market","38A Beo Crescent, Beo Crescent Market #01-94","(1.28883089150258, 103.827353892228)",1.288830892,103.8273539,TIONG BAHRU,0.295602038,shafima family food,Food
1849,Burger & Bites,340106,None,106 Bidadari Park Drive,106 Bidadari Park Drive None,"(1.33369947750043, 103.870796085779)",1.333699478,103.8707961,POTONG PASIR,0.323103518,burger & bites,Food
1850,My World Childcare,341105,#01-08,105A Bidadari Park Drive,105A Bidadari Park Drive #01-08,"(1.33400699237548, 103.870430572231)",1.334006992,103.8704306,POTONG PASIR,0.330224373,my world childcare,Health
1851,Health Springs Medical & Laser Clinic,341105,#01-09,105A Bidadari Park Drive,105A Bidadari Park Drive #01-09,"(1.33400699237548, 103.870430572231)",1.334006992,103.8704306,POTONG PASIR,0.330224373,health springs medical & laser clinic,Health
1852,Unknown,341115,#01-12,115A Alkaff Crescent,115A Alkaff Crescent #01-12,"(1.33645283610396, 103.87276093968)",1.336452836,103.8727609,WOODLEIGH,0.37385021,unknown,Others
1853,Unknown,342115,#01-05,115B Alkaff Crescent,115B Alkaff Crescent #01-05,"(1.33686312257245, 103.872620376557)",1.336863123,103.8726204,WOODLEIGH,0.327923776,unknown,Others
1854,Power Cut Salon,342115,#01-09,115B Alkaff Crescent,115B Alkaff Crescent #01-09,"(1.33686312257245, 103.872620376557)",1.336863123,103.8726204,WOODLEIGH,0.327923776,power cut salon,Beauty
1855,Bedok Corner Hokkien Mee,343115,None,115C Alkaff Crescent,115C Alkaff Crescent None,"(1.33722847497236, 103.872886634076)",1.337228475,103.8728866,WOODLEIGH,0.317747328,bedok corner hokkien mee,Food
1856,Ieat Kitchen,343115,#01-01,115C Alkaff Crescent,115C Alkaff Crescent #01-01,"(1.33722847497236, 103.872886634076)",1.337228475,103.8728866,WOODLEIGH,0.317747328,ieat kitchen,Food
1857,Food Aspiration Pte. Ltd.,348539,"#01179A","179 Macpherson Road, Sennett Estate","179 Macpherson Road, Sennett Estate #01179A","(1.33030015717461, 103.875195259044)",1.330300157,103.8751953,POTONG PASIR,0.694038296,food aspiration pte. ltd.,Food
1858,Food Aspiration Pte. Ltd.,348539,"#01179C","179 Macpherson Road, Sennett Estate","179 Macpherson Road, Sennett Estate #01179C","(1.33030015717461, 103.875195259044)",1.330300157,103.8751953,POTONG PASIR,0.694038296,food aspiration pte. ltd.,Food
1859,St.Isidore Centre,350120,#01-822,120 Potong Pasir Ave 1,120 Potong Pasir Ave 1 #01-822,"(1.33545353246777, 103.863387980398)",1.335453532,103.863388,POTONG PASIR,0.775128238,st.isidore centre,Others
1860,Hainan Traditional Satay,350120,#01-806,120 Potong Pasir Ave 1,120 Potong Pasir Ave 1 #01-806,"(1.33545353246777, 103.863387980398)",1.335453532,103.863388,POTONG PASIR,0.775128238,hainan traditional satay,Food
1861,Central Hair Dressing & Beauty Saloon,350136,#01-156B,136 Potong Pasir Ave 3,136 Potong Pasir Ave 3 #01-156B,"(1.33398254838691, 103.866520142842)",1.333982548,103.8665201,POTONG PASIR,0.403259622,central hair dressing & beauty saloon,Beauty
1862,Lee Woon Sewing Institute,350136,#01-158A,136 Potong Pasir Ave 3,136 Potong Pasir Ave 3 #01-158A,"(1.33398254838691, 103.866520142842)",1.333982548,103.8665201,POTONG PASIR,0.403259622,lee woon sewing institute,Food
1863,Lee Woon Hair & Beauty Saloon,350136,#01-158B,136 Potong Pasir Ave 3,136 Potong Pasir Ave 3 #01-158B,"(1.33398254838691, 103.866520142842)",1.333982548,103.8665201,POTONG PASIR,0.403259622,lee woon hair & beauty saloon,Beauty
1864,Regent Dental Clinic,350136,#01-164A,136 Potong Pasir Ave 3,136 Potong Pasir Ave 3 #01-164A,"(1.33398254838691, 103.866520142842)",1.333982548,103.8665201,POTONG PASIR,0.403259622,regent dental clinic,Health
1865,Goh Medical Clinic,350136,#01-164B,136 Potong Pasir Ave 3,136 Potong Pasir Ave 3 #01-164B,"(1.33398254838691, 103.866520142842)",1.333982548,103.8665201,POTONG PASIR,0.403259622,goh medical clinic,Health
1866,Fresh Produce Specialist,350136,#01-162,136 Potong Pasir Ave 3,136 Potong Pasir Ave 3 #01-162,"(1.33398254838691, 103.866520142842)",1.333982548,103.8665201,POTONG PASIR,0.403259622,fresh produce specialist,Others
1867,New Realm Vegetarian,350136,#01-168,136 Potong Pasir Ave 3,136 Potong Pasir Ave 3 #01-168,"(1.33398254838691, 103.866520142842)",1.333982548,103.8665201,POTONG PASIR,0.403259622,new realm vegetarian,Food
1868,Uncle Sim,350136,#01-168,136 Potong Pasir Ave 3,136 Potong Pasir Ave 3 #01-168,"(1.33398254838691, 103.866520142842)",1.333982548,103.8665201,POTONG PASIR,0.403259622,uncle sim,Others
1869,Bida Kitchen Thai Cuisine,350137,#01-152,137 Potong Pasir Ave 3,137 Potong Pasir Ave 3 #01-152,"(1.33385759374197, 103.865845367722)",1.333857594,103.8658454,POTONG PASIR,0.450021282,bida kitchen thai cuisine,Food
1870,Mixed Veg Rice Porridge,350137,#01-152,137 Potong Pasir Ave 3,137 Potong Pasir Ave 3 #01-152,"(1.33385759374197, 103.865845367722)",1.333857594,103.8658454,POTONG PASIR,0.450021282,mixed veg rice porridge,Food
1871,Ricebot,350137,#01-152,137 Potong Pasir Ave 3,137 Potong Pasir Ave 3 #01-152,"(1.33385759374197, 103.865845367722)",1.333857594,103.8658454,POTONG PASIR,0.450021282,ricebot,Food
1872,Kash Coinverter,350143,#01-K1,143 Potong Pasir Ave 2,143 Potong Pasir Ave 2 #01-K1,"(1.33290762111116, 103.866168845292)",1.332907621,103.8661688,POTONG PASIR,0.362171672,kash coinverter,Others
1873,Pro-Deo Trading Pte Ltd,350146,#01-133A,146 Potong Pasir Ave 1,146 Potong Pasir Ave 1 #01-133A,"(1.3318007826539, 103.867242849282)",1.331800783,103.8672428,POTONG PASIR,0.20584745,pro-deo trading pte ltd,Others
1874,Xin F & K Medical,350146,#01-137A,146 Potong Pasir Ave 1,146 Potong Pasir Ave 1 #01-137A,"(1.3318007826539, 103.867242849282)",1.331800783,103.8672428,POTONG PASIR,0.20584745,xin f & k medical,Health
1875,Specs Smith,350146,#01-103A,146 Potong Pasir Ave 1,146 Potong Pasir Ave 1 #01-103A,"(1.3318007826539, 103.867242849282)",1.331800783,103.8672428,POTONG PASIR,0.20584745,specs smith,Others
1876,"Fade Avenue, The Gentlemen'S Studio",350146,#01-131B,146 Potong Pasir Ave 1,146 Potong Pasir Ave 1 #01-131B,"(1.3318007826539, 103.867242849282)",1.331800783,103.8672428,POTONG PASIR,0.20584745,"fade avenue, the gentlemen's studio",Beauty
1877,Sen Beauty House,350147,#01-77A,147 Potong Pasir Ave 1,147 Potong Pasir Ave 1 #01-77A,"(1.33189433492144, 103.867853688427)",1.331894335,103.8678537,POTONG PASIR,0.144376598,sen beauty house,Beauty
1878,Yonne Hair De Beauty,350147,#01-79A,147 Potong Pasir Ave 1,147 Potong Pasir Ave 1 #01-79A,"(1.33189433492144, 103.867853688427)",1.331894335,103.8678537,POTONG PASIR,0.144376598,yonne hair de beauty,Beauty
1879,Angels Beauty Hub,350147,#01-79B,147 Potong Pasir Ave 1,147 Potong Pasir Ave 1 #01-79B,"(1.33189433492144, 103.867853688427)",1.331894335,103.8678537,POTONG PASIR,0.144376598,angels beauty hub,Beauty
1880,Japanese & Korean Cuisine,350147,#01-93,147 Potong Pasir Ave 1,147 Potong Pasir Ave 1 #01-93,"(1.33189433492144, 103.867853688427)",1.331894335,103.8678537,POTONG PASIR,0.144376598,japanese & korean cuisine,Food
1881,Bakery Talent,350148,#01-25A,148 Potong Pasir Ave 1,148 Potong Pasir Ave 1 #01-25A,"(1.3323543597317, 103.86777426102)",1.33235436,103.8677743,POTONG PASIR,0.178146246,bakery talent,Bakery
1882,Eyesight.Sg,350148,#01-51A,148 Potong Pasir Ave 1,148 Potong Pasir Ave 1 #01-51A,"(1.3323543597317, 103.86777426102)",1.33235436,103.8677743,POTONG PASIR,0.178146246,eyesight.sg,Health
1883,Ang Mo Supermarket Pte Ltd,350148,#01-65,148 Potong Pasir Ave 1,148 Potong Pasir Ave 1 #01-65,"(1.3323543597317, 103.86777426102)",1.33235436,103.8677743,POTONG PASIR,0.178146246,ang mo supermarket pte ltd,Minimart
1884,Vogue Hair Workshop,350148,#01-59B,148 Potong Pasir Ave 1,148 Potong Pasir Ave 1 #01-59B,"(1.3323543597317, 103.86777426102)",1.33235436,103.8677743,POTONG PASIR,0.178146246,vogue hair workshop,Beauty
1885,Seng Lee Ladies Dress Making Institute,350148,#01-73,148 Potong Pasir Ave 1,148 Potong Pasir Ave 1 #01-73,"(1.3323543597317, 103.86777426102)",1.33235436,103.8677743,POTONG PASIR,0.178146246,seng lee ladies dress making institute,Tailor/fashion
1886,Lustrelite Store,350148,#01-75,148 Potong Pasir Ave 1,148 Potong Pasir Ave 1 #01-75,"(1.3323543597317, 103.86777426102)",1.33235436,103.8677743,POTONG PASIR,0.178146246,lustrelite store,Minimart
1887,Chef Recipe 1,360001,None,1 Upper Aljunied Lane,1 Upper Aljunied Lane None,"(1.33429242412799, 103.878746207181)",1.334292424,103.8787462,BARTLEY,0.955637856,chef recipe 1,Food
1888,Guo Cheng Mala Hotpot,360001,None,1 Upper Aljunied Lane,1 Upper Aljunied Lane None,"(1.33429242412799, 103.878746207181)",1.334292424,103.8787462,BARTLEY,0.955637856,guo cheng mala hotpot,Food
1889,Wei Jia Fish Soup,360001,None,1 Upper Aljunied Lane,1 Upper Aljunied Lane None,"(1.33429242412799, 103.878746207181)",1.334292424,103.8787462,BARTLEY,0.955637856,wei jia fish soup,Food
1890,Chao Yuan Noodle,360001,#01-02,1 Upper Aljunied Lane,1 Upper Aljunied Lane #01-02,"(1.33429242412799, 103.878746207181)",1.334292424,103.8787462,BARTLEY,0.955637856,chao yuan noodle,Food
1891,Canto Department Store,360002,#01-05,2 Upper Aljunied Lane,2 Upper Aljunied Lane #01-05,"(1.33398953306499, 103.878963482772)",1.333989533,103.8789635,MATTAR,0.922452364,canto department store,Minimart
1892,Fruit Juice Store,360002,#01-07A,2 Upper Aljunied Lane,2 Upper Aljunied Lane #01-07A,"(1.33398953306499, 103.878963482772)",1.333989533,103.8789635,MATTAR,0.922452364,fruit juice store,Food
1893,Well Mobile Pte Ltd,360002,#01-07B,2 Upper Aljunied Lane,2 Upper Aljunied Lane #01-07B,"(1.33398953306499, 103.878963482772)",1.333989533,103.8789635,MATTAR,0.922452364,well mobile pte ltd,Mobile services
1894,Friends Bakery,360002,#01-17,2 Upper Aljunied Lane,2 Upper Aljunied Lane #01-17,"(1.33398953306499, 103.878963482772)",1.333989533,103.8789635,MATTAR,0.922452364,friends bakery,Bakery
1895,Lil Bits And Bites,360002,#01-19,2 Upper Aljunied Lane,2 Upper Aljunied Lane #01-19,"(1.33398953306499, 103.878963482772)",1.333989533,103.8789635,MATTAR,0.922452364,lil bits and bites,Food
1896,Fruits. Vegetables,360002,#01-23,2 Upper Aljunied Lane,2 Upper Aljunied Lane #01-23,"(1.33398953306499, 103.878963482772)",1.333989533,103.8789635,MATTAR,0.922452364,fruits. vegetables,Food
1897,Himalayan Pte Ltd,360002,#01-01,2 Upper Aljunied Lane,2 Upper Aljunied Lane #01-01,"(1.33398953306499, 103.878963482772)",1.333989533,103.8789635,MATTAR,0.922452364,himalayan pte ltd,Food
1898,Sapphire Js Flowers,360002,#01-11B,2 Upper Aljunied Lane,2 Upper Aljunied Lane #01-11B,"(1.33398953306499, 103.878963482772)",1.333989533,103.8789635,MATTAR,0.922452364,sapphire js flowers,Florist
1899,Tian Xia Bakery,360002,#01-15A,2 Upper Aljunied Lane,2 Upper Aljunied Lane #01-15A,"(1.33398953306499, 103.878963482772)",1.333989533,103.8789635,MATTAR,0.922452364,tian xia bakery,Bakery
1900,Make Your Own,360004,#01-06,4 Upper Aljunied Lane,4 Upper Aljunied Lane #01-06,"(1.33354743210386, 103.879065838406)",1.333547432,103.8790658,MATTAR,0.874585443,make your own,Others
1901,Yong Hong Household Appliances,360005,#01-30A,5 Upper Aljunied Lane,5 Upper Aljunied Lane #01-30A,"(1.33372865982665, 103.879898473982)",1.33372866,103.8798985,MATTAR,0.847342929,yong hong household appliances,Others
1902,Dbells Unisex Salon,360005,#01-32,5 Upper Aljunied Lane,5 Upper Aljunied Lane #01-32,"(1.33372865982665, 103.879898473982)",1.33372866,103.8798985,MATTAR,0.847342929,dbells unisex salon,Beauty
1903,Wah Long Chinese Medical,320074,#01-344A,74 Whampoa Drive,74 Whampoa Drive #01-344A,"(1.32471579654689, 103.857752875203)",1.324715797,103.8577529,BOON KENG,0.735145761,wah long chinese medical,Health
1904,Ming Sheng Mala Spicy Pot,320074,#01-310,74 Whampoa Drive,74 Whampoa Drive #01-310,"(1.32471579654689, 103.857752875203)",1.324715797,103.8577529,BOON KENG,0.735145761,ming sheng mala spicy pot,Food
1905,Mixed Vegetable,320074,#01-310,74 Whampoa Drive,74 Whampoa Drive #01-310,"(1.32471579654689, 103.857752875203)",1.324715797,103.8577529,BOON KENG,0.735145761,mixed vegetable,Food
1906,An Jun Tcm Healthcare,320081,#01-899A,81 Whampoa Drive,81 Whampoa Drive #01-899A,"(1.32400427468755, 103.85632640336)",1.324004275,103.8563264,BOON KENG,0.785275176,an jun tcm healthcare,Health
1907,Elite Unisex Hairdressing,320081,#01-903,81 Whampoa Drive,81 Whampoa Drive #01-903,"(1.32400427468755, 103.85632640336)",1.324004275,103.8563264,BOON KENG,0.785275176,elite unisex hairdressing,Beauty
1908,Mountain Electrical,320081,#01-905,81 Whampoa Drive,81 Whampoa Drive #01-905,"(1.32400427468755, 103.85632640336)",1.324004275,103.8563264,BOON KENG,0.785275176,mountain electrical,Others
1909,Ho Nian Trading,320081,#01-909,81 Whampoa Drive,81 Whampoa Drive #01-909,"(1.32400427468755, 103.85632640336)",1.324004275,103.8563264,BOON KENG,0.785275176,ho nian trading,Others
1910,Alfa Unisex Saloon Pl,320081,#01-917,81 Whampoa Drive,81 Whampoa Drive #01-917,"(1.32400427468755, 103.85632640336)",1.324004275,103.8563264,BOON KENG,0.785275176,alfa unisex saloon pl,Beauty
1911,Hair Corner De Salon,320082,#01-947B,82 Whampoa Drive,82 Whampoa Drive #01-947B,"(1.32387379240679, 103.856482753763)",1.323873792,103.8564828,BOON KENG,0.762637266,hair corner de salon,Beauty
1912,Hui Teng Garments Co,320082,#01-949,82 Whampoa Drive,82 Whampoa Drive #01-949,"(1.32387379240679, 103.856482753763)",1.323873792,103.8564828,BOON KENG,0.762637266,hui teng garments co,Others
1913,Lynns De Fashion,320082,#01-951A,82 Whampoa Drive,82 Whampoa Drive #01-951A,"(1.32387379240679, 103.856482753763)",1.323873792,103.8564828,BOON KENG,0.762637266,lynns de fashion,Tailor/fashion
1914,Aoska Unisex Hair Styling,320082,#01-961,82 Whampoa Drive,82 Whampoa Drive #01-961,"(1.32387379240679, 103.856482753763)",1.323873792,103.8564828,BOON KENG,0.762637266,aoska unisex hair styling,Beauty
1915,My Beauty,320086,#01-929B,86 Whampoa Drive,86 Whampoa Drive #01-929B,"(1.32314598295591, 103.855879621151)",1.323145983,103.8558796,BOON KENG,0.767804712,my beauty,Beauty
1916,Weimei Pretty,320086,#01-933A,86 Whampoa Drive,86 Whampoa Drive #01-933A,"(1.32314598295591, 103.855879621151)",1.323145983,103.8558796,BOON KENG,0.767804712,weimei pretty,Others
1917,Bao Tang Zhi Dao,320086,#01-919,86 Whampoa Drive,86 Whampoa Drive #01-919,"(1.32314598295591, 103.855879621151)",1.323145983,103.8558796,BOON KENG,0.767804712,bao tang zhi dao,Food
1918,Fresh Clean Food (Vegetarian),320086,#01-919,86 Whampoa Drive,86 Whampoa Drive #01-919,"(1.32314598295591, 103.855879621151)",1.323145983,103.8558796,BOON KENG,0.767804712,fresh clean food (vegetarian),Food
1919,Fu Kee Handmake Noodle Fish Soup,320086,#01-919,86 Whampoa Drive,86 Whampoa Drive #01-919,"(1.32314598295591, 103.855879621151)",1.323145983,103.8558796,BOON KENG,0.767804712,fu kee handmake noodle fish soup,Food
1920,H&A Nail Facial Eyelash Eyebrow,320087,#01-871B,87 Whampoa Drive,87 Whampoa Drive #01-871B,"(1.32328917067445, 103.855735557842)",1.323289171,103.8557356,BOON KENG,0.789912887,h&a nail facial eyelash eyebrow,Beauty
1921,Tai Chung Foh Medical Hall,320087,#01-877,87 Whampoa Drive,87 Whampoa Drive #01-877,"(1.32328917067445, 103.855735557842)",1.323289171,103.8557356,BOON KENG,0.789912887,tai chung foh medical hall,Health
1922,Sin Tien Lin Trading,320087,#01-879,87 Whampoa Drive,87 Whampoa Drive #01-879,"(1.32328917067445, 103.855735557842)",1.323289171,103.8557356,BOON KENG,0.789912887,sin tien lin trading,Others
1923,88 Durian Fruit Pte Ltd,320088,#01-853B,88 Whampoa Drive,88 Whampoa Drive #01-853B,"(1.32324726968904, 103.855171553668)",1.32324727,103.8551716,BOON KENG,0.840672499,88 durian fruit pte ltd,Food
1924,Roti Corner,320088,#01-855,88 Whampoa Drive,88 Whampoa Drive #01-855,"(1.32324726968904, 103.855171553668)",1.32324727,103.8551716,BOON KENG,0.840672499,roti corner,Others
1925,Optic+,320088,#01-855A,88 Whampoa Drive,88 Whampoa Drive #01-855A,"(1.32324726968904, 103.855171553668)",1.32324727,103.8551716,BOON KENG,0.840672499,optic+,Health
1926,I. Tea,320088,#01-857A,88 Whampoa Drive,88 Whampoa Drive #01-857A,"(1.32324726968904, 103.855171553668)",1.32324727,103.8551716,BOON KENG,0.840672499,i. tea,Food
1927,Golden Leaf Curtain Centre Pte Ltd,320088,#01-859,88 Whampoa Drive,88 Whampoa Drive #01-859,"(1.32324726968904, 103.855171553668)",1.32324727,103.8551716,BOON KENG,0.840672499,golden leaf curtain centre pte ltd,Others
